"Config","arm_type","t","median_l2","q25_l2","q75_l2","n_rep"
"TS (q=0.25, T1=200, T2=8)","TS",112,0.257429018875281,0.232130489790133,0.292404805601398,100
"TS (q=0.25, T1=200, T2=8)","TS",113,0.254201101600049,0.229933324183966,0.290916005738795,100
"TS (q=0.25, T1=200, T2=8)","TS",114,0.252922598977881,0.226589902662679,0.288925935909364,100
"TS (q=0.25, T1=200, T2=8)","TS",115,0.252211363748661,0.22486721424553,0.287119188318827,100
"TS (q=0.25, T1=200, T2=8)","TS",116,0.250976519281076,0.220817539801471,0.285294239296244,100
"TS (q=0.25, T1=200, T2=8)","TS",117,0.247306536713384,0.22027572833341,0.283707414587013,100
"TS (q=0.25, T1=200, T2=8)","TS",118,0.245555192429156,0.219943715979398,0.28169893787825,100
"TS (q=0.25, T1=200, T2=8)","TS",119,0.242713660406712,0.217551388134002,0.279453307459682,100
"TS (q=0.25, T1=200, T2=8)","TS",120,0.240941466085012,0.214877628821324,0.277635826366234,100
"TS (q=0.25, T1=200, T2=8)","TS",121,0.240680276742846,0.214538240621423,0.274534826879446,100
"TS (q=0.25, T1=200, T2=8)","TS",122,0.240770655391533,0.215070337145296,0.272281503288496,100
"TS (q=0.25, T1=200, T2=8)","TS",123,0.241929409894608,0.215070274702261,0.272017150703462,100
"TS (q=0.25, T1=200, T2=8)","TS",124,0.240416598911506,0.216219632652882,0.27177268904893,100
"TS (q=0.25, T1=200, T2=8)","TS",125,0.240234756776419,0.216400565964269,0.27107965189212,100
"TS (q=0.25, T1=200, T2=8)","TS",126,0.240277014061474,0.217294718146894,0.270492609081437,100
"TS (q=0.25, T1=200, T2=8)","TS",127,0.240119201302223,0.216715229954327,0.269790844033387,100
"TS (q=0.25, T1=200, T2=8)","TS",128,0.240154259668296,0.216405646002896,0.26977719929728,100
"TS (q=0.25, T1=200, T2=8)","TS",129,0.240358987218557,0.215044727842367,0.268975356713627,100
"TS (q=0.25, T1=200, T2=8)","TS",130,0.240768935317595,0.214928917679231,0.269654985242233,100
"TS (q=0.25, T1=200, T2=8)","TS",131,0.240753285007382,0.21569637336917,0.270376689204161,100
"TS (q=0.25, T1=200, T2=8)","TS",132,0.240725999027392,0.216981316057263,0.271071692140534,100
"TS (q=0.25, T1=200, T2=8)","TS",133,0.241696394584948,0.217455101715805,0.271405559390669,100
"TS (q=0.25, T1=200, T2=8)","TS",134,0.242646857135514,0.217047244099391,0.27152249025652,100
"TS (q=0.25, T1=200, T2=8)","TS",135,0.243525052164578,0.217454263140729,0.271650297763525,100
"TS (q=0.25, T1=200, T2=8)","TS",136,0.243689412099787,0.218230506817702,0.272639557955039,100
